Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
150,Meyers Leonard\leoname01,C,25,POR,2,0,8,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,4,4,0,0,0,0,0,8
151,Jake Layman\laymaja01,SF,23,POR,1,0,8,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,0,1,1,1,2,0,0,0,6
152,Maurice Harkless\harklma01,SF,24,POR,2,1,53,7,13,.538,2,6,.333,5,7,.714,.615,0,0,,3,5,8,4,0,1,1,4,16
153,Ed Davis\davised01,C,28,POR,4,0,71,5,10,.500,0,0,,5,10,.500,.500,1,4,.250,5,27,32,0,0,1,4,7,11
154,Pat Connaughton\connapa01,SG,25,POR,4,0,59,6,15,.400,2,10,.200,4,5,.800,.467,2,2,1.000,2,2,4,6,1,1,1,9,16
155,Zach Collins\colliza01,C,20,POR,4,0,70,11,30,.367,3,14,.214,8,16,.500,.417,3,4,.750,3,9,12,6,3,2,2,10,28
156,Wade Baldwin\baldwwa01,PG,21,POR,4,0,19,1,4,.250,1,1,1.000,0,3,.000,.375,1,2,.500,0,3,3,3,1,1,3,1,4
157,Al-Farouq Aminu\aminual01,PF,27,POR,4,4,131,27,52,.519,13,30,.433,14,22,.636,.644,2,2,1.000,12,24,36,5,4,2,6,8,69
158,Derrick White\whitede01,PG,23,SAS,3,0,18,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,0,0,0,1,1,2,0,0,7
159,Brandon Paul\paulbr01,SG,26,SAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
160,Tony Parker\parketo01,PG,35,SAS,5,0,67,14,37,.378,0,5,.000,14,32,.438,.378,5,7,.714,0,4,4,6,2,0,4,2,33
161,Dejounte Murray\murrade01,PG,21,SAS,5,5,96,14,31,.452,4,6,.667,10,25,.400,.516,7,9,.778,4,17,21,9,5,2,5,11,39
